trx_id,msisdn,kind,bundle,price,currency,epoch_ms
telco_d-1073f85ce4f6,acct-1939042955,S,P_PREMIUM,99.0,PKR,1705320720000
telco_d-471c5691d5da,acct-8995970241,R,P_PREMIUM,149.0,PKR,1705338240000
telco_d-8df0af87d387,acct-7483366056,S,P_BASIC,99.0,PKR,1705270140000
telco_d-bab0d1035e2f,acct-1422701550,S,P_STD,299.0,PKR,1705270500000
telco_d-249ea5146669,acct-6491309593,S,P_BASIC,99.0,PKR,1705312260000
telco_d-f0df7e493dbb,acct-4803044105,S,P_STD,149.0,PKR,1705279860000
telco_d-eca509d45992,acct-3096929657,S,P_STD,499.0,PKR,1705312860000
telco_d-6d067bfaff3c,acct-6698759353,R,P_STD,299.0,PKR,1705306560000
telco_d-f97d9a8c6eee,acct-8622026979,R,P_STD,499.0,PKR,1705343820000
telco_d-c8a708f870ff,acct-7243788374,R,P_STD,299.0,PKR,1705284420000
telco_d-c8a708f870ff,acct-7243788374,R,P_STD,299.0,PKR,1705284420000
telco_d-ed3c2f37c45b,acct-9115009532,S,P_PREMIUM,299.0,PKR,1705328160000
telco_d-c5c8f26cab46,acct-5162060546,R,P_STD,349.0,PKR,1705306860000
telco_d-ee02abe40722,acct-1521521078,R,P_PREMIUM,149.0,PKR,1705338600000
telco_d-94bb269b19e4,acct-5916199809,S,P_BASIC,149.0,PKR,1705267020000
telco_d-94bb269b19e4,acct-5916199809,S,P_BASIC,149.0,PKR,1705267020000
telco_d-569803c3d754,acct-4524233168,R,P_STD,299.0,PKR,1705325820000
telco_d-abf52acf8111,acct-1158998032,S,P_PREMIUM,299.0,PKR,1705272900000
telco_d-95d9431b9845,acct-3651968205,S,P_BASIC,299.0,PKR,1705286820000
telco_d-f202858c3309,acct-2268006448,R,P_PREMIUM,499.0,PKR,1705287600000
telco_d-cb453f033f87,acct-7688606771,S,P_BASIC,499.0,PKR,1705259760000
telco_d-e8a7a3c6301a,acct-7805633786,R,P_PREMIUM,299.0,PKR,1705272180000
telco_d-0cb183870d84,acct-5877639950,S,P_STD,299.0,PKR,1705337220000
telco_d-62bc49540ba2,acct-5763350700,R,P_PREMIUM,149.0,PKR,1705327320000
telco_d-bdf376bd1da0,acct-1637088959,S,P_BASIC,299.0,PKR,1705329600000
telco_d-24c1a97c395a,acct-9259157845,R,P_BASIC,99.0,PKR,1705266300000
telco_d-d57ac34a1fe2,acct-2554145481,R,P_STD,99.0,PKR,1705285620000
telco_d-497832ce1f82,acct-8715177240,R,P_PREMIUM,99.0,PKR,1705300320000
telco_d-faa5760c7c05,acct-8867077130,R,P_BASIC,99.0,PKR,1705329480000
telco_d-3ee7e8c61964,acct-9952125442,R,P_PREMIUM,149.0,PKR,1705263300000
telco_d-eda73fda0aa0,acct-6857897124,S,P_STD,499.0,PKR,1705308540000
telco_d-41e532b15d36,acct-1665484476,S,P_STD,99.0,PKR,1705319340000
